HOG	gene
N0.HOG0000016	BPChr06G08532
N0.HOG0000016	BPChr06G08556
N0.HOG0000016	BPChr06G08555
N0.HOG0000016	BPChr06G08593
N0.HOG0000016	BPChr12G25903
N0.HOG0000016	BPChr12G25905
N0.HOG0000016	BPChr12G25871
N0.HOG0000016	BPChr07G24854
N0.HOG0000016	BPChr01G05253
N0.HOG0000016	BPChr01G05282
N0.HOG0000016	BPChr01G05225
N0.HOG0000016	BPChr01G05235
N0.HOG0000016	BPChr12G08348
N0.HOG0000016	BPChr12G08342
N0.HOG0000016	BPChr12G08389
N0.HOG0000016	BPChr12G08375
N0.HOG0000016	BPChr12G08416
N0.HOG0000016	BPChr07G10031
N0.HOG0000016	BPChr06G00221
N0.HOG0000016	BPChr06G00270
N0.HOG0000016	BPChr06G00277
N0.HOG0000016	BPChr06G00260
N0.HOG0000016	BPChr06G00267
N0.HOG0000016	BPChr07G02961
N0.HOG0000016	BPChr08G05553
N0.HOG0000016	BPChr08G05554
N0.HOG0000016	BPChr08G15491
N0.HOG0000016	BPChr11G28743
N0.HOG0000016	BPChr08G15524
N0.HOG0000016	BPChr11G28634
N0.HOG0000016	BPChr12G15541
N0.HOG0000016	TC02G1222
N0.HOG0000016	TC02G1225
N0.HOG0000016	TC02G1217
N0.HOG0000016	TC04G2295
N0.HOG0000016	TC12G0448
N0.HOG0000016	GWHGERFP034309
N0.HOG0000016	GWHGERFP044235
N0.HOG0000016	GWHGERFP019305
N0.HOG0000016	GWHGERFP019486
N0.HOG0000016	GWHGERFP002556
N0.HOG0000016	GWHGERFP024441
N0.HOG0000016	GWHGERFP001441
N0.HOG0000016	GWHGERFP001436
N0.HOG0000016	GWHGERFP001432
N0.HOG0000016	GWHGERFP001431
N0.HOG0000016	GWHGERFP001406
N0.HOG0000016	GWHGERFP001403
N0.HOG0000016	GWHGERFP001404
N0.HOG0000016	GWHGERFP001402
N0.HOG0000016	GWHGERFP001409
N0.HOG0000016	GWHGERFP001407
N0.HOG0000016	GWHGERFP001412
N0.HOG0000016	GWHGERFP001413
N0.HOG0000016	GWHGERFP001419
N0.HOG0000016	GWHGERFP047027
N0.HOG0000016	GWHGERFP001656
N0.HOG0000016	GWHGERFP001657
N0.HOG0000016	GWHGERFP001652
N0.HOG0000016	GWHGERFP001746
N0.HOG0000016	GWHGERFP001747
N0.HOG0000016	GWHGERFP001744
N0.HOG0000016	GWHGERFP001745
N0.HOG0000016	GWHGERFP001740
N0.HOG0000016	GWHGERFP001748
N0.HOG0000016	GWHGERFP001753
N0.HOG0000016	GWHGERFP001754
N0.HOG0000016	GWHGERFP001723
N0.HOG0000016	GWHGERFP001720
N0.HOG0000016	GWHGERFP001727
N0.HOG0000016	GWHGERFP001739
N0.HOG0000016	GWHGERFP001737
N0.HOG0000016	GWHGERFP001849
N0.HOG0000016	GWHGERFP001848
N0.HOG0000016	GWHGERFP001850
N0.HOG0000016	GWHGERFP001858
N0.HOG0000016	RHSIM_RhsimUnG0047600
N0.HOG0000016	RHSIM_RhsimUnG0059800
N0.HOG0000016	RHSIM_RhsimUnG0189200
N0.HOG0000016	RHSIM_Rhsim04G0095200
N0.HOG0000016	RHSIM_Rhsim04G0101200
N0.HOG0000016	RHSIM_RhsimUnG0189400
N0.HOG0000016	RHSIM_Rhsim04G0078300
N0.HOG0000016	RHSIM_Rhsim12G0056700
N0.HOG0000016	RHSIM_RhsimUnG0189500
N0.HOG0000016	RHSIM_Rhsim04G0078400
N0.HOG0000016	RHSIM_Rhsim04G0078100
N0.HOG0000016	RHSIM_Rhsim04G0078200
N0.HOG0000016	RHSIM_Rhsim04G0078000
N0.HOG0000016	RHSIM_Rhsim02G0165000
N0.HOG0000016	RHSIM_Rhsim02G0165100
N0.HOG0000016	RHSIM_Rhsim04G0076500
N0.HOG0000016	RHSIM_Rhsim04G0101600
N0.HOG0000016	RHSIM_Rhsim04G0078900
N0.HOG0000016	RHSIM_Rhsim12G0056600
N0.HOG0000016	RHSIM_Rhsim04G0101400
N0.HOG0000016	RHSIM_Rhsim04G0078500
N0.HOG0000016	RHSIM_Rhsim04G0078700
N0.HOG0000016	RHSIM_Rhsim04G0096200
N0.HOG0000016	RHSIM_Rhsim04G0076800
N0.HOG0000016	RHSIM_Rhsim02G0164900
N0.HOG0000016	RHSIM_RhsimUnG0166400
N0.HOG0000016	RHSIM_Rhsim04G0079600
N0.HOG0000016	RHSIM_Rhsim04G0080600
N0.HOG0000016	RHSIM_Rhsim04G0079800
N0.HOG0000016	RHSIM_Rhsim04G0079700
N0.HOG0000016	RHSIM_Rhsim04G0077100
N0.HOG0000016	RHSIM_Rhsim04G0079200
N0.HOG0000016	RHSIM_Rhsim04G0080200
N0.HOG0000016	RHSIM_Rhsim04G0079300
N0.HOG0000016	RHSIM_Rhsim04G0080000
N0.HOG0000016	RHSIM_Rhsim04G0079100
N0.HOG0000016	RHSIM_Rhsim04G0077800
N0.HOG0000016	RHSIM_Rhsim04G0077400
N0.HOG0000016	RHSIM_Rhsim04G0090400
N0.HOG0000016	RHSIM_Rhsim07G0080800
N0.HOG0000016	RHSIM_Rhsim04G0077200
N0.HOG0000016	RHSIM_Rhsim04G0095000
N0.HOG0000016	RHSIM_Rhsim05G0217400
N0.HOG0000016	Os06g0706600
N0.HOG0000016	Os01g0580150
N0.HOG0000016	Os01g0364800
N0.HOG0000016	Os04g0517700
N0.HOG0000016	Os09g0482640
N0.HOG0000016	Os06g0170100
N0.HOG0000016	Os08g0365500
N0.HOG0000016	Os02g0111600
N0.HOG0000016	Os09g0373800
N0.HOG0000016	Os06g0705200
N0.HOG0000016	Os06g0142500
N0.HOG0000016	Os09g0471200
N0.HOG0000016	Os09g0471400
N0.HOG0000016	Os04g0599000
N0.HOG0000016	Os08g0501600
N0.HOG0000016	Os04g0598900
N0.HOG0000016	Os01g0364100
N0.HOG0000017	AT3G47090
N0.HOG0000017	AT3G47110
N0.HOG0000017	AT3G47570
N0.HOG0000017	AT3G47580
N0.HOG0000017	AT5G20480
N0.HOG0000017	AT5G39390
N0.HOG0000017	EL10Ac1g01442.1
N0.HOG0000017	EL10Ac3g05560.1
N0.HOG0000017	EL10Ac3g05925.1
N0.HOG0000017	EL10Ac3g07264.1
N0.HOG0000017	EL10Ac6g14805.1
N0.HOG0000017	EL10Ac6g14846.1
N0.HOG0000017	EL10Ac8g19284.1
N0.HOG0000017	EL10Ac9g21766.1
N0.HOG0000017	EL10Ac9g21768.1
N0.HOG0000017	EL10Ac9g21771.1
N0.HOG0000017	EL10Ac9g21990.1
N0.HOG0000017	HORVU.MOREX.r3.5HG0504480
N0.HOG0000017	HORVU.MOREX.r3.2HG0216720
N0.HOG0000017	HORVU.MOREX.r3.1HG0086740
N0.HOG0000017	HORVU.MOREX.r3.5HG0503340
N0.HOG0000017	HORVU.MOREX.r3.7HG0715480
N0.HOG0000017	HORVU.MOREX.r3.7HG0711760
N0.HOG0000017	HORVU.MOREX.r3.4HG0413160
N0.HOG0000017	HORVU.MOREX.r3.7HG0715530
N0.HOG0000017	HORVU.MOREX.r3.2HG0198470
N0.HOG0000017	HORVU.MOREX.r3.6HG0628760
N0.HOG0000017	HORVU.MOREX.r3.3HG0229090
N0.HOG0000017	HORVU.MOREX.r3.4HG0407750
N0.HOG0000017	HORVU.MOREX.r3.7HG0715810
N0.HOG0000017	HORVU.MOREX.r3.2HG0180060
N0.HOG0000017	HORVU.MOREX.r3.5HG0503300
N0.HOG0000017	HORVU.MOREX.r3.7HG0642030
N0.HOG0000017	HORVU.MOREX.r3.2HG0216780
N0.HOG0000017	HORVU.MOREX.r3.4HG0413100
N0.HOG0000017	HORVU.MOREX.r3.6HG0578910
N0.HOG0000017	HORVU.MOREX.r3.5HG0534730
N0.HOG0000017	HORVU.MOREX.r3.6HG0578940
N0.HOG0000017	Zm00001eb031100
N0.HOG0000017	Zm00001eb124060
N0.HOG0000017	Zm00001eb124080
N0.HOG0000017	Zm00001eb134650
N0.HOG0000017	Zm00001eb417710
N0.HOG0000017	Zm00001eb165960
N0.HOG0000017	Zm00001eb166770
N0.HOG0000017	Zm00001eb170520
N0.HOG0000017	Zm00001eb184640
N0.HOG0000017	Zm00001eb184650
N0.HOG0000017	Zm00001eb184710
N0.HOG0000017	Zm00001eb184730
N0.HOG0000017	Zm00001eb184750
N0.HOG0000017	Zm00001eb184760
N0.HOG0000017	Zm00001eb209330
N0.HOG0000017	Zm00001eb336020
N0.HOG0000017	Zm00001eb345910
N0.HOG0000017	Zm00001eb219540
N0.HOG0000017	Zm00001eb261340
N0.HOG0000017	Zm00001eb277240
N0.HOG0000017	Zm00001eb402690
N0.HOG0000017	BPChr13G10290
N0.HOG0000017	BPChr13G10306
N0.HOG0000017	BPChr14G26038
N0.HOG0000017	BPChr14G26008
N0.HOG0000017	BPChr09G06466
N0.HOG0000017	BPChr09G06451
N0.HOG0000017	BPChr07G17335
N0.HOG0000017	BPChr06G31088
N0.HOG0000017	BPChr06G31183
N0.HOG0000017	BPChr06G31153
N0.HOG0000017	BPChr06G31196
N0.HOG0000017	BPChr06G31190
N0.HOG0000017	BPChr06G31352
N0.HOG0000017	BPunChr33583
N0.HOG0000017	BPunChr33581
N0.HOG0000017	BPChr06G29271
N0.HOG0000017	BPChr08G10756
N0.HOG0000017	BPunChr33689
N0.HOG0000017	BPChr06G30354
N0.HOG0000017	BPChr08G10807
N0.HOG0000017	BPChr08G10809
N0.HOG0000017	BPChr06G30525
N0.HOG0000017	BPChr06G30725
N0.HOG0000017	BPChr06G30777
N0.HOG0000017	BPunChr33257
N0.HOG0000017	BPunChr33261
N0.HOG0000017	BPunChr33263
N0.HOG0000017	BPChr06G30870
N0.HOG0000017	BPunChr33932
N0.HOG0000017	BPChr13G06229
N0.HOG0000017	BPChr13G06233
N0.HOG0000017	BPChr13G06239
N0.HOG0000017	BPChr03G11669
N0.HOG0000017	BPChr14G11926
N0.HOG0000017	BPChr04G24892
N0.HOG0000017	BPChr14G01912
N0.HOG0000017	TC01G3137
N0.HOG0000017	TC06G1460
N0.HOG0000017	TC08G0425
N0.HOG0000017	GWHGERFP000927
N0.HOG0000017	GWHGERFP000926
N0.HOG0000017	GWHGERFP022508
N0.HOG0000017	GWHGERFP007004
N0.HOG0000017	GWHGERFP007006
N0.HOG0000017	GWHGERFP007015
N0.HOG0000017	GWHGERFP007016
N0.HOG0000017	GWHGERFP032623
N0.HOG0000017	GWHGERFP032624
N0.HOG0000017	GWHGERFP005508
N0.HOG0000017	GWHGERFP030669
N0.HOG0000017	GWHGERFP030668
N0.HOG0000017	GWHGERFP030667
N0.HOG0000017	GWHGERFP030666
N0.HOG0000017	GWHGERFP030665
N0.HOG0000017	GWHGERFP030664
N0.HOG0000017	GWHGERFP030684
N0.HOG0000017	GWHGERFP030682
N0.HOG0000017	GWHGERFP030681
N0.HOG0000017	GWHGERFP030679
N0.HOG0000017	GWHGERFP030677
N0.HOG0000017	GWHGERFP030675
N0.HOG0000017	GWHGERFP030672
N0.HOG0000017	GWHGERFP026038
N0.HOG0000017	GWHGERFP026031
N0.HOG0000017	GWHGERFP026033
N0.HOG0000017	GWHGERFP026028
N0.HOG0000017	GWHGERFP026024
N0.HOG0000017	GWHGERFP026026
N0.HOG0000017	GWHGERFP026023
N0.HOG0000017	GWHGERFP026030
N0.HOG0000017	GWHGERFP041913
N0.HOG0000017	GWHGERFP041911
N0.HOG0000017	GWHGERFP041910
N0.HOG0000017	GWHGERFP041917
N0.HOG0000017	GWHGERFP041918
N0.HOG0000017	GWHGERFP026400
N0.HOG0000017	GWHGERFP024210
N0.HOG0000017	GWHGERFP024586
N0.HOG0000017	GWHGERFP024584
N0.HOG0000017	GWHGERFP036727
N0.HOG0000017	GWHGERFP034254
N0.HOG0000017	GWHGERFP035852
N0.HOG0000017	GWHGERFP021437
N0.HOG0000017	GWHGERFP021438
N0.HOG0000017	GWHGERFP021421
N0.HOG0000017	GWHGERFP021426
N0.HOG0000017	GWHGERFP021423
N0.HOG0000017	GWHGERFP021418
N0.HOG0000017	GWHGERFP021443
N0.HOG0000017	GWHGERFP021441
N0.HOG0000017	GWHGERFP006040
N0.HOG0000017	GWHGERFP006042
N0.HOG0000017	GWHGERFP006033
N0.HOG0000017	GWHGERFP006015
N0.HOG0000017	GWHGERFP006018
N0.HOG0000017	GWHGERFP006080
N0.HOG0000017	GWHGERFP006081
N0.HOG0000017	GWHGERFP006082
N0.HOG0000017	GWHGERFP006085
N0.HOG0000017	GWHGERFP006086
N0.HOG0000017	GWHGERFP006090
N0.HOG0000017	GWHGERFP006088
N0.HOG0000017	GWHGERFP006089
N0.HOG0000017	GWHGERFP006887
N0.HOG0000017	GWHGERFP031954
N0.HOG0000017	GWHGERFP031951
N0.HOG0000017	GWHGERFP031953
N0.HOG0000017	GWHGERFP031944
N0.HOG0000017	GWHGERFP031946
N0.HOG0000017	GWHGERFP031947
N0.HOG0000017	GWHGERFP031949
N0.HOG0000017	GWHGERFP031942
N0.HOG0000017	GWHGERFP031932
N0.HOG0000017	GWHGERFP031933
N0.HOG0000017	GWHGERFP031935
N0.HOG0000017	GWHGERFP031937
N0.HOG0000017	GWHGERFP031931
N0.HOG0000017	GWHGERFP005948
N0.HOG0000017	GWHGERFP005957
N0.HOG0000017	GWHGERFP005960
N0.HOG0000017	GWHGERFP005961
N0.HOG0000017	GWHGERFP005963
N0.HOG0000017	GWHGERFP005964
N0.HOG0000017	GWHGERFP005967
N0.HOG0000017	GWHGERFP005968
N0.HOG0000017	GWHGERFP005971
N0.HOG0000017	GWHGERFP005977
N0.HOG0000017	GWHGERFP005979
N0.HOG0000017	GWHGERFP003584
N0.HOG0000017	GWHGERFP001009
N0.HOG0000017	GWHGERFP001389
N0.HOG0000017	GWHGERFP047083
N0.HOG0000017	RHSIM_RhsimUnG0188000
N0.HOG0000017	RHSIM_Rhsim06G0058300
N0.HOG0000017	RHSIM_Rhsim06G0058200
N0.HOG0000017	RHSIM_Rhsim04G0048500
N0.HOG0000017	Os06g0588800
N0.HOG0000017	Os02g0215500
N0.HOG0000017	Os02g0215700
N0.HOG0000017	Os06g0586150
N0.HOG0000017	Os02g0215900
N0.HOG0000017	Os06g0581500
N0.HOG0000017	Os02g0211800
N0.HOG0000017	Os11g0490200
N0.HOG0000017	Os01g0153000
N0.HOG0000017	Os12g0498650
N0.HOG0000017	Os07g0121200
N0.HOG0000017	Os02g0216000
N0.HOG0000017	Os02g0615500
N0.HOG0000017	Os06g0583600
N0.HOG0000017	Os08g0331900
N0.HOG0000017	Os06g0585950
N0.HOG0000017	Os06g0585982
N0.HOG0000017	Os11g0569733
N0.HOG0000017	Os11g0569800
N0.HOG0000017	Os11g0569500
N0.HOG0000017	Os11g0569600
N0.HOG0000017	Os11g0569300
N0.HOG0000017	Os02g0615800
N0.HOG0000017	Os01g0152800
N0.HOG0000017	Os12g0620000
N0.HOG0000017	Os01g0152600
N0.HOG0000017	Os02g0635600
N0.HOG0000017	Os06g0587200
N0.HOG0000017	Os11g0559200
N0.HOG0000017	Os01g0152000
N0.HOG0000017	Os02g0210700
N0.HOG0000017	Os01g0523100
N0.HOG0000017	Os11g0568800
N0.HOG0000023	AT1G56650
N0.HOG0000023	AT1G66370
N0.HOG0000023	AT1G66380
N0.HOG0000023	AT1G66390
N0.HOG0000023	AT3G27920
N0.HOG0000023	AT5G14750
N0.HOG0000023	AT5G40330
N0.HOG0000023	AT5G52600
N0.HOG0000023	EL10Ac5g12358.1
N0.HOG0000023	EL10Ac8g19112.1
N0.HOG0000023	HORVU.MOREX.r3.4HG0410500
N0.HOG0000023	HORVU.MOREX.r3.3HG0316260
N0.HOG0000023	HORVU.MOREX.r3.4HG0392620
N0.HOG0000023	Zm00001eb278680
N0.HOG0000023	Zm00001eb373660
N0.HOG0000023	BPChr11G26936
N0.HOG0000023	BPChr14G02014
N0.HOG0000023	BPChr06G13544
N0.HOG0000023	BPChr03G10856
N0.HOG0000023	BPChr04G23986
N0.HOG0000023	BPChr02G25730
N0.HOG0000023	BPChr08G22986
N0.HOG0000023	BPChr08G19142
N0.HOG0000023	BPChr03G03342
N0.HOG0000023	BPChr03G03325
N0.HOG0000023	BPChr03G03353
N0.HOG0000023	BPChr11G01735
N0.HOG0000023	BPChr03G10947
N0.HOG0000023	BPChr12G06136
N0.HOG0000023	BPChr12G06130
N0.HOG0000023	BPChr01G17204
N0.HOG0000023	BPChr01G17199
N0.HOG0000023	BPChr11G18772
N0.HOG0000023	BPChr11G18741
N0.HOG0000023	BPChr11G26265
N0.HOG0000023	TC09G1004
N0.HOG0000023	TC01G3826
N0.HOG0000023	TC09G0340
N0.HOG0000023	TC11G1458
N0.HOG0000023	TC11G1462
N0.HOG0000023	TC11G1467
N0.HOG0000023	TC01G0163
N0.HOG0000023	TC07G0661
N0.HOG0000023	TC10G1277
N0.HOG0000023	GWHGERFP010838
N0.HOG0000023	GWHGERFP010847
N0.HOG0000023	GWHGERFP007901
N0.HOG0000023	GWHGERFP041707
N0.HOG0000023	GWHGERFP008103
N0.HOG0000023	GWHGERFP016396
N0.HOG0000023	GWHGERFP015892
N0.HOG0000023	GWHGERFP025319
N0.HOG0000023	GWHGERFP025320
N0.HOG0000023	GWHGERFP011586
N0.HOG0000023	RHSIM_RhsimUnG0192200
N0.HOG0000023	RHSIM_RhsimUnG0192300
N0.HOG0000023	RHSIM_Rhsim05G0010800
N0.HOG0000023	RHSIM_Rhsim12G0164500
N0.HOG0000023	RHSIM_Rhsim05G0010700
N0.HOG0000023	RHSIM_Rhsim03G0250600
N0.HOG0000023	RHSIM_Rhsim12G0209800
N0.HOG0000023	RHSIM_Rhsim08G0171500
N0.HOG0000023	RHSIM_Rhsim08G0239000
N0.HOG0000023	RHSIM_Rhsim07G0110600
N0.HOG0000023	RHSIM_Rhsim03G0229400
N0.HOG0000023	Os06g0205100
N0.HOG0000032	AT1G63910
N0.HOG0000032	EL10Ac5g12828.1
N0.HOG0000032	HORVU.MOREX.r3.7HG0701080
N0.HOG0000032	Zm00001eb416400
N0.HOG0000032	BPChr02G25926
N0.HOG0000032	TC01G3379
N0.HOG0000032	TC06G0191
N0.HOG0000032	GWHGERFP020265
N0.HOG0000032	GWHGERFP041484
N0.HOG0000032	RHSIM_Rhsim02G0235100
N0.HOG0000032	Os08g0151300
N0.HOG0000035	AT3G08500
N0.HOG0000035	AT5G12870
N0.HOG0000035	EL10Ac2g04325.1
N0.HOG0000035	EL10Ac4g10258.1
N0.HOG0000035	EL10Ac4g10274.1
N0.HOG0000035	HORVU.MOREX.r3.5HG0447760
N0.HOG0000035	Zm00001eb410950
N0.HOG0000035	BPChr11G09367
N0.HOG0000035	BPChr13G17239
N0.HOG0000035	TC02G3702
N0.HOG0000035	TC05G1274
N0.HOG0000035	TC01G0029
N0.HOG0000035	GWHGERFP021991
N0.HOG0000035	GWHGERFP027539
N0.HOG0000035	GWHGERFP027810
N0.HOG0000035	RHSIM_Rhsim13G0221600
N0.HOG0000035	RHSIM_Rhsim01G0129400
N0.HOG0000035	Os12g0515300
N0.HOG0000038	AT1G65790
N0.HOG0000038	AT1G65800
N0.HOG0000038	AT3G12000
N0.HOG0000038	AT4G21380
N0.HOG0000038	EL10Ac8g19961.1
N0.HOG0000038	HORVU.MOREX.r3.1HG0067630
N0.HOG0000038	HORVU.MOREX.r3.2HG0136860
N0.HOG0000038	HORVU.MOREX.r3.3HG0294080
N0.HOG0000038	HORVU.MOREX.r3.3HG0294050
N0.HOG0000038	Zm00001eb043140
N0.HOG0000038	Zm00001eb151300
N0.HOG0000038	Zm00001eb151310
N0.HOG0000038	Zm00001eb151330
N0.HOG0000038	Zm00001eb323640
N0.HOG0000038	Zm00001eb352780
N0.HOG0000038	Zm00001eb369770
N0.HOG0000038	BPChr07G15628
N0.HOG0000038	TC07G1167
N0.HOG0000038	TC07G2573
N0.HOG0000038	GWHGERFP028574
N0.HOG0000038	GWHGERFP028922
N0.HOG0000038	RHSIM_Rhsim13G0166700
N0.HOG0000038	Os07g0550500
N0.HOG0000038	Os03g0556600
N0.HOG0000038	Os01g0784200
N0.HOG0000038	Os01g0784700
N0.HOG0000038	Os05g0501400
N0.HOG0000039	AT4G27290
N0.HOG0000039	AT4G27300
N0.HOG0000039	EL10Ac9g21167.1
N0.HOG0000039	EL10Ac9g22890.1
N0.HOG0000039	HORVU.MOREX.r3.2HG0207920
N0.HOG0000039	Zm00001eb069440
N0.HOG0000039	Zm00001eb069480
N0.HOG0000039	Zm00001eb431620
N0.HOG0000039	BPChr03G28939
N0.HOG0000039	BPChr06G08094
N0.HOG0000039	BPChr07G17322
N0.HOG0000039	BPChr07G17332
N0.HOG0000039	BPChr07G17340
N0.HOG0000039	BPChr13G23914
N0.HOG0000039	BPChr04G27264
N0.HOG0000039	BPChr04G24507
N0.HOG0000039	BPChr04G24490
N0.HOG0000039	BPChr04G24479
N0.HOG0000039	BPChr04G24477
N0.HOG0000039	BPChr04G24424
N0.HOG0000039	BPChr04G24420
N0.HOG0000039	BPChr06G09482
N0.HOG0000039	BPChr06G09503
N0.HOG0000039	BPChr06G09513
N0.HOG0000039	BPChr06G09512
N0.HOG0000039	BPChr06G09563
N0.HOG0000039	BPChr06G09552
N0.HOG0000039	BPChr06G09583
N0.HOG0000039	BPChr06G09582
N0.HOG0000039	BPChr06G09613
N0.HOG0000039	BPChr06G09617
N0.HOG0000039	TC05G2824
N0.HOG0000039	GWHGERFP005063
N0.HOG0000039	GWHGERFP028584
N0.HOG0000039	GWHGERFP028585
N0.HOG0000039	GWHGERFP028594
N0.HOG0000039	GWHGERFP028961
N0.HOG0000039	GWHGERFP028964
N0.HOG0000039	GWHGERFP000504
N0.HOG0000039	GWHGERFP000506
N0.HOG0000039	GWHGERFP000515
N0.HOG0000039	GWHGERFP000514
N0.HOG0000039	GWHGERFP000517
N0.HOG0000039	GWHGERFP000516
N0.HOG0000039	GWHGERFP005918
N0.HOG0000039	RHSIM_Rhsim06G0191200
N0.HOG0000039	RHSIM_Rhsim06G0191300
N0.HOG0000039	RHSIM_Rhsim13G0165300
N0.HOG0000039	Os04g0633200
N0.HOG0000040	AT1G11280
N0.HOG0000040	AT1G11300
N0.HOG0000040	AT1G11303
N0.HOG0000040	AT1G11330
N0.HOG0000040	AT1G11350
N0.HOG0000040	AT1G61360
N0.HOG0000040	AT1G61370
N0.HOG0000040	AT1G61380
N0.HOG0000040	AT1G61390
N0.HOG0000040	AT1G61400
N0.HOG0000040	AT1G61420
N0.HOG0000040	AT1G61430
N0.HOG0000040	AT1G61440
N0.HOG0000040	AT1G61460
N0.HOG0000040	AT1G61475
N0.HOG0000040	AT1G61480
N0.HOG0000040	AT1G61490
N0.HOG0000040	AT1G61500
N0.HOG0000040	AT1G61550
N0.HOG0000040	AT1G61610
N0.HOG0000040	AT4G21390
N0.HOG0000040	EL10Ac3g06542.1
N0.HOG0000040	EL10Ac7g17272.1
N0.HOG0000040	EL10Ac7g17273.1
N0.HOG0000040	EL10Ac8g19962.1
N0.HOG0000040	EL10Ac8g19963.1
N0.HOG0000040	EL10Ac8g19964.1
N0.HOG0000040	EL10Ac8g19967.1
N0.HOG0000040	EL10Ac8g19970.1
N0.HOG0000040	EL10Ac8g19971.1
N0.HOG0000040	EL10Ac8g19973.1
N0.HOG0000040	EL10Ac8g19976.1
N0.HOG0000040	EL10Ac8g19978.1
N0.HOG0000040	EL10Ac8g19979.1
N0.HOG0000040	EL10Ac9g20917.1
N0.HOG0000040	EL10Ac9g22508.1
N0.HOG0000040	EL10Ac9g22509.1
N0.HOG0000040	EL10Ac9g22969.1
N0.HOG0000040	HORVU.MOREX.r3.2HG0136830
N0.HOG0000040	HORVU.MOREX.r3.2HG0136790
N0.HOG0000040	Zm00001eb323660
N0.HOG0000040	Zm00001eb323690
N0.HOG0000040	BPChr07G15597
N0.HOG0000040	BPChr07G15618
N0.HOG0000040	BPChr07G15613
N0.HOG0000040	BPChr07G15637
N0.HOG0000040	BPChr07G15639
N0.HOG0000040	BPChr07G15631
N0.HOG0000040	BPChr07G15646
N0.HOG0000040	BPChr07G15656
N0.HOG0000040	TC03G1548
N0.HOG0000040	TC07G1171
N0.HOG0000040	TC07G1169
N0.HOG0000040	TC07G2575
